ds,unique_id,y
2023-03-01,0415,4
2023-04-01,0415,0
2023-05-01,0415,2
2023-06-01,0415,5
2023-07-01,0415,1
2023-08-01,0415,0
2023-09-01,0415,1
2018-01-01,0417,0
2018-02-01,0417,0
2018-03-01,0417,0
2018-04-01,0417,0
2018-05-01,0417,0
2018-06-01,0417,0
2018-07-01,0417,0
2018-08-01,0417,0
2018-09-01,0417,0
2018-10-01,0417,0
2018-11-01,0417,0
2018-12-01,0417,0
2019-01-01,0417,0
2019-02-01,0417,0
2019-03-01,0417,0
2019-04-01,0417,0
2019-05-01,0417,0
2019-06-01,0417,0
2019-07-01,0417,0
2019-08-01,0417,0
2019-09-01,0417,0
2019-10-01,0417,0
2019-11-01,0417,0
2019-12-01,0417,0
2020-01-01,0417,82
2020-02-01,0417,0
2020-03-01,0417,110
2020-04-01,0417,0
2020-05-01,0417,0
2020-06-01,0417,0
2020-07-01,0417,0
2020-08-01,0417,1
2020-09-01,0417,0
2020-10-01,0417,1
2020-11-01,0417,15
2020-12-01,0417,0
2021-01-01,0417,1
2021-02-01,0417,13
2021-03-01,0417,19
2021-04-01,0417,11
2021-05-01,0417,39
2021-06-01,0417,0
2021-07-01,0417,0
2021-08-01,0417,32
2021-09-01,0417,0
2021-10-01,0417,0
2021-11-01,0417,23
2021-12-01,0417,0
2022-01-01,0417,49
2022-02-01,0417,0
2022-03-01,0417,0
2022-04-01,0417,0
2022-05-01,0417,29
2022-06-01,0417,0
2022-07-01,0417,0
2022-08-01,0417,0
2022-09-01,0417,27
2022-10-01,0417,268
2022-11-01,0417,807
2022-12-01,0417,269
2023-01-01,0417,220
2023-02-01,0417,293
2023-03-01,0417,372
2023-04-01,0417,161
2023-05-01,0417,309
2023-06-01,0417,374
2023-07-01,0417,290
2023-08-01,0417,107
2023-09-01,0417,233
2018-01-01,0418,13
2018-02-01,0418,19
2018-03-01,0418,8
2018-04-01,0418,16
2018-05-01,0418,16
2018-06-01,0418,12
2018-07-01,0418,19
2018-08-01,0418,12
2018-09-01,0418,15
2018-10-01,0418,19
2018-11-01,0418,23
2018-12-01,0418,13
2019-01-01,0418,23
2019-02-01,0418,14
2019-03-01,0418,26
2019-04-01,0418,19
2019-05-01,0418,23
2019-06-01,0418,17
2019-07-01,0418,14
2019-08-01,0418,23
2019-09-01,0418,20
2019-10-01,0418,19
2019-11-01,0418,18
2019-12-01,0418,20
2020-01-01,0418,15
2020-02-01,0418,11
2020-03-01,0418,33
2020-04-01,0418,22
2020-05-01,0418,12
2020-06-01,0418,15
2020-07-01,0418,0
2020-08-01,0418,29
2020-09-01,0418,17
2020-10-01,0418,7
2020-11-01,0418,24
2020-12-01,0418,19
2021-01-01,0418,7
2021-02-01,0418,1
2021-03-01,0418,35
2021-04-01,0418,23
2021-05-01,0418,16
2021-06-01,0418,17
2021-07-01,0418,13
2021-08-01,0418,11
2021-09-01,0418,15
2021-10-01,0418,15
2021-11-01,0418,13
2021-12-01,0418,0
2022-01-01,0418,40
2022-02-01,0418,10
2022-03-01,0418,20
2022-04-01,0418,13
2022-05-01,0418,21
2022-06-01,0418,20
2022-07-01,0418,20
2022-08-01,0418,10
2022-09-01,0418,12
2022-10-01,0418,18
2022-11-01,0418,11
2022-12-01,0418,13
2023-01-01,0418,13
2023-02-01,0418,14
2023-03-01,0418,10
2023-04-01,0418,10
2023-05-01,0418,23
2023-06-01,0418,24
2023-07-01,0418,20
